psp_reference,merchant,customer_id,customer_name,card_scheme,year,hour_of_day,minute_of_hour,day_of_year,is_credit,usd_amount,amount_minor,currency,ip_country,issuing_country,device_type,shopper_interaction,has_fraudulent_dispute,is_refused_by_adyen,processor,settled_date
MX-100000555,Maximor Demo Corp,CUST-001,Northwind Labs,Visa,2026,3,45,114,False,195.15,19515,USD,US,US,Android,Ecommerce,False,False,adyen,2026-04-24
MX-100000556,Maximor Demo Corp,CUST-002,Helios Analytics,Mastercard,2026,4,48,115,False,202.28,20228,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-04-25
MX-100000557,Maximor Demo Corp,CUST-003,Acme Industrial,NexPay,2026,5,51,116,False,209.41,20941,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-04-26
MX-100000558,Maximor Demo Corp,CUST-004,Brightline Media,GlobalCard,2026,6,54,117,False,216.54,21654,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-04-27
MX-100000559,Maximor Demo Corp,CUST-005,Quiet Harbor,Amex,2026,7,57,118,False,223.67,22367,USD,US,US,Android,Ecommerce,False,False,stripe,2026-04-28
MX-100000560,Maximor Demo Corp,CUST-006,Pinnacle Retail,Visa,2026,8,0,119,False,230.8,23080,USD,US,US,Windows,Ecommerce,False,False,adyen,2026-04-29
MX-100000561,Maximor Demo Corp,CUST-007,Atlas Robotics,Mastercard,2026,9,3,120,True,237.93,23793,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-04-30
MX-100000562,Maximor Demo Corp,CUST-008,Lumen Labs,NexPay,2026,10,6,121,False,245.06,24506,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-05-01
MX-100000563,Maximor Demo Corp,CUST-009,Northstar LLC,GlobalCard,2026,11,9,122,False,252.19,25219,USD,US,US,Android,Ecommerce,False,False,stripe,2026-05-02
MX-100000564,Maximor Demo Corp,CUST-010,Meridian Health,Amex,2026,12,12,123,False,259.32,25932,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-05-03
MX-100000565,Maximor Demo Corp,CUST-011,Beacon Biotech,Visa,2026,13,15,124,False,266.45,26645,USD,US,US,MacOS,Ecommerce,False,False,adyen,2026-05-04
MX-100000566,Maximor Demo Corp,CUST-012,Copperline Logistics,Mastercard,2026,14,18,125,False,273.58,27358,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-05-05
MX-100000567,Maximor Demo Corp,CUST-013,Summit Civic,NexPay,2026,15,21,126,False,280.71,28071,USD,US,US,Android,Ecommerce,False,False,stripe,2026-05-06
MX-100000568,Maximor Demo Corp,CUST-014,Redwood Clinics,GlobalCard,2026,16,24,127,False,287.84,28784,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-05-07
MX-100000569,Maximor Demo Corp,CUST-015,Ironclad Software,Amex,2026,17,27,128,False,294.97,29497,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-05-08
MX-100000570,Maximor Demo Corp,CUST-001,Northwind Labs,Visa,2026,18,30,129,False,302.1,30210,USD,US,US,iOS,Ecommerce,False,False,adyen,2026-05-09
MX-100000571,Maximor Demo Corp,CUST-002,Helios Analytics,Mastercard,2026,19,33,130,False,309.23,30923,USD,US,US,Android,Ecommerce,False,False,stripe,2026-05-10
MX-100000572,Maximor Demo Corp,CUST-003,Acme Industrial,NexPay,2026,20,36,131,False,316.36,31636,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-05-11
MX-100000573,Maximor Demo Corp,CUST-004,Brightline Media,GlobalCard,2026,21,39,132,False,323.49,32349,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-05-12
MX-100000574,Maximor Demo Corp,CUST-005,Quiet Harbor,Amex,2026,22,42,133,False,330.62,33062,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-05-13
MX-100000575,Maximor Demo Corp,CUST-006,Pinnacle Retail,Visa,2026,23,45,134,False,337.75,33775,USD,US,US,Android,Ecommerce,False,False,adyen,2026-05-14
MX-100000576,Maximor Demo Corp,CUST-007,Atlas Robotics,Mastercard,2026,0,48,135,False,344.88,34488,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-05-15
MX-100000577,Maximor Demo Corp,CUST-008,Lumen Labs,NexPay,2026,1,51,136,False,352.01,35201,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-05-16
MX-100000578,Maximor Demo Corp,CUST-009,Northstar LLC,GlobalCard,2026,2,54,137,True,359.14,35914,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-05-17
MX-100000579,Maximor Demo Corp,CUST-010,Meridian Health,Amex,2026,3,57,138,False,366.27,36627,USD,US,US,Android,Ecommerce,False,False,stripe,2026-05-18
MX-100000580,Maximor Demo Corp,CUST-011,Beacon Biotech,Visa,2026,4,0,139,False,373.4,37340,USD,US,US,Windows,Ecommerce,False,False,adyen,2026-05-19
MX-100000581,Maximor Demo Corp,CUST-012,Copperline Logistics,Mastercard,2026,5,3,140,False,380.53,38053,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-05-20
MX-100000582,Maximor Demo Corp,CUST-013,Summit Civic,NexPay,2026,6,6,141,False,387.66,38766,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-05-21
MX-100000583,Maximor Demo Corp,CUST-014,Redwood Clinics,GlobalCard,2026,7,9,142,False,394.79,39479,USD,US,US,Android,Ecommerce,False,False,stripe,2026-05-22
MX-100000584,Maximor Demo Corp,CUST-015,Ironclad Software,Amex,2026,8,12,143,False,401.92,40192,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-05-23
MX-100000585,Maximor Demo Corp,CUST-001,Northwind Labs,Visa,2026,9,15,144,False,409.05,40905,USD,US,US,MacOS,Ecommerce,False,False,adyen,2026-05-24
MX-100000586,Maximor Demo Corp,CUST-002,Helios Analytics,Mastercard,2026,10,18,145,False,416.18,41618,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-05-25
MX-100000587,Maximor Demo Corp,CUST-003,Acme Industrial,NexPay,2026,11,21,146,False,423.31,42331,USD,US,US,Android,Ecommerce,False,False,stripe,2026-05-26
MX-100000588,Maximor Demo Corp,CUST-004,Brightline Media,GlobalCard,2026,12,24,147,False,430.44,43044,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-05-27
MX-100000589,Maximor Demo Corp,CUST-005,Quiet Harbor,Amex,2026,13,27,148,False,437.57,43757,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-05-28
MX-100000590,Maximor Demo Corp,CUST-006,Pinnacle Retail,Visa,2026,14,30,149,False,24.7,2470,USD,US,US,iOS,Ecommerce,False,False,adyen,2026-05-29
MX-100000591,Maximor Demo Corp,CUST-007,Atlas Robotics,Mastercard,2026,15,33,150,False,31.83,3183,USD,US,US,Android,Ecommerce,False,False,stripe,2026-05-30
MX-100000592,Maximor Demo Corp,CUST-008,Lumen Labs,NexPay,2026,16,36,151,False,38.96,3896,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-05-31
MX-100000593,Maximor Demo Corp,CUST-009,Northstar LLC,GlobalCard,2026,17,39,152,False,46.09,4609,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-06-01
MX-100000594,Maximor Demo Corp,CUST-010,Meridian Health,Amex,2026,18,42,153,False,53.22,5322,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-06-02
MX-100000595,Maximor Demo Corp,CUST-011,Beacon Biotech,Visa,2026,19,45,154,True,60.35,6035,USD,US,US,Android,Ecommerce,False,False,adyen,2026-06-03
MX-100000596,Maximor Demo Corp,CUST-012,Copperline Logistics,Mastercard,2026,20,48,155,False,67.48,6748,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-06-04
MX-100000597,Maximor Demo Corp,CUST-013,Summit Civic,NexPay,2026,21,51,156,False,74.61,7461,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-06-05
MX-100000598,Maximor Demo Corp,CUST-014,Redwood Clinics,GlobalCard,2026,22,54,157,False,81.74,8174,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-06-06
MX-100000599,Maximor Demo Corp,CUST-015,Ironclad Software,Amex,2026,23,57,158,False,88.87,8887,USD,US,US,Android,Ecommerce,False,False,stripe,2026-06-07
MX-100000600,Maximor Demo Corp,CUST-001,Northwind Labs,Visa,2026,0,0,159,False,96.0,9600,USD,US,US,Windows,Ecommerce,False,False,adyen,2026-06-08
MX-100000601,Maximor Demo Corp,CUST-002,Helios Analytics,Mastercard,2026,1,3,160,False,103.13,10313,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-06-09
MX-100000602,Maximor Demo Corp,CUST-003,Acme Industrial,NexPay,2026,2,6,161,False,110.26,11026,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-06-10
MX-100000603,Maximor Demo Corp,CUST-004,Brightline Media,GlobalCard,2026,3,9,162,False,117.39,11739,USD,US,US,Android,Ecommerce,False,False,stripe,2026-06-11
MX-100000604,Maximor Demo Corp,CUST-005,Quiet Harbor,Amex,2026,4,12,163,False,124.52,12452,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-06-12
MX-100000605,Maximor Demo Corp,CUST-006,Pinnacle Retail,Visa,2026,5,15,164,False,131.65,13165,USD,US,US,MacOS,Ecommerce,False,False,adyen,2026-06-13
MX-100000606,Maximor Demo Corp,CUST-007,Atlas Robotics,Mastercard,2026,6,18,165,False,138.78,13878,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-06-14
MX-100000607,Maximor Demo Corp,CUST-008,Lumen Labs,NexPay,2026,7,21,166,False,145.91,14591,USD,US,US,Android,Ecommerce,False,False,stripe,2026-06-15
MX-100000608,Maximor Demo Corp,CUST-009,Northstar LLC,GlobalCard,2026,8,24,167,False,153.04,15304,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-06-16
MX-100000609,Maximor Demo Corp,CUST-010,Meridian Health,Amex,2026,9,27,168,False,160.17,16017,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-06-17
MX-100000610,Maximor Demo Corp,CUST-011,Beacon Biotech,Visa,2026,10,30,169,False,167.3,16730,USD,US,US,iOS,Ecommerce,False,False,adyen,2026-06-18
MX-100000611,Maximor Demo Corp,CUST-012,Copperline Logistics,Mastercard,2026,11,33,170,False,174.43,17443,USD,US,US,Android,Ecommerce,False,False,stripe,2026-06-19
MX-100000612,Maximor Demo Corp,CUST-013,Summit Civic,NexPay,2026,12,36,171,True,181.56,18156,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-06-20
MX-100000613,Maximor Demo Corp,CUST-014,Redwood Clinics,GlobalCard,2026,13,39,172,False,188.69,18869,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-06-21
MX-100000614,Maximor Demo Corp,CUST-015,Ironclad Software,Amex,2026,14,42,173,False,195.82,19582,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-06-22
MX-100000615,Maximor Demo Corp,CUST-001,Northwind Labs,Visa,2026,15,45,174,False,202.95,20295,USD,US,US,Android,Ecommerce,False,False,adyen,2026-06-23
MX-100000616,Maximor Demo Corp,CUST-002,Helios Analytics,Mastercard,2026,16,48,175,False,210.08,21008,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-06-24
MX-100000617,Maximor Demo Corp,CUST-003,Acme Industrial,NexPay,2026,17,51,176,False,217.21,21721,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-06-25
MX-100000618,Maximor Demo Corp,CUST-004,Brightline Media,GlobalCard,2026,18,54,177,False,224.34,22434,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-06-26
MX-100000619,Maximor Demo Corp,CUST-005,Quiet Harbor,Amex,2026,19,57,178,False,231.47,23147,USD,US,US,Android,Ecommerce,False,False,stripe,2026-06-27
MX-100000620,Maximor Demo Corp,CUST-006,Pinnacle Retail,Visa,2026,20,0,179,False,238.6,23860,USD,US,US,Windows,Ecommerce,False,False,adyen,2026-06-28
MX-100000621,Maximor Demo Corp,CUST-007,Atlas Robotics,Mastercard,2026,21,3,180,False,245.73,24573,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-06-29
MX-100000622,Maximor Demo Corp,CUST-008,Lumen Labs,NexPay,2026,22,6,181,False,252.86,25286,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-06-30
MX-100000623,Maximor Demo Corp,CUST-009,Northstar LLC,GlobalCard,2026,23,9,182,False,259.99,25999,USD,US,US,Android,Ecommerce,False,False,stripe,2026-07-01
MX-100000624,Maximor Demo Corp,CUST-010,Meridian Health,Amex,2026,0,12,183,False,267.12,26712,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-07-02
MX-100000625,Maximor Demo Corp,CUST-011,Beacon Biotech,Visa,2026,1,15,184,False,274.25,27425,USD,US,US,MacOS,Ecommerce,False,False,adyen,2026-07-03
MX-100000626,Maximor Demo Corp,CUST-012,Copperline Logistics,Mastercard,2026,2,18,185,False,281.38,28138,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-07-04
MX-100000627,Maximor Demo Corp,CUST-013,Summit Civic,NexPay,2026,3,21,186,False,288.51,28851,USD,US,US,Android,Ecommerce,False,False,stripe,2026-07-05
MX-100000628,Maximor Demo Corp,CUST-014,Redwood Clinics,GlobalCard,2026,4,24,187,False,295.64,29564,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-07-06
MX-100000629,Maximor Demo Corp,CUST-015,Ironclad Software,Amex,2026,5,27,188,True,302.77,30277,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-07-07
MX-100000630,Maximor Demo Corp,CUST-001,Northwind Labs,Visa,2026,6,30,189,False,309.9,30990,USD,US,US,iOS,Ecommerce,False,False,adyen,2026-07-08
MX-100000631,Maximor Demo Corp,CUST-002,Helios Analytics,Mastercard,2026,7,33,190,False,317.03,31703,USD,US,US,Android,Ecommerce,False,False,stripe,2026-07-09
MX-100000632,Maximor Demo Corp,CUST-003,Acme Industrial,NexPay,2026,8,36,191,False,324.16,32416,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-07-10
MX-100000633,Maximor Demo Corp,CUST-004,Brightline Media,GlobalCard,2026,9,39,192,False,331.29,33129,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-07-11
MX-100000634,Maximor Demo Corp,CUST-005,Quiet Harbor,Amex,2026,10,42,193,False,338.42,33842,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-07-12
MX-100000635,Maximor Demo Corp,CUST-006,Pinnacle Retail,Visa,2026,11,45,194,False,345.55,34555,USD,US,US,Android,Ecommerce,False,False,adyen,2026-07-13
MX-100000636,Maximor Demo Corp,CUST-007,Atlas Robotics,Mastercard,2026,12,48,195,False,352.68,35268,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-07-14
MX-100000637,Maximor Demo Corp,CUST-008,Lumen Labs,NexPay,2026,13,51,196,False,359.81,35981,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-07-15
MX-100000638,Maximor Demo Corp,CUST-009,Northstar LLC,GlobalCard,2026,14,54,197,False,366.94,36694,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-07-16
MX-100000639,Maximor Demo Corp,CUST-010,Meridian Health,Amex,2026,15,57,198,False,374.07,37407,USD,US,US,Android,Ecommerce,False,False,stripe,2026-07-17
MX-100000640,Maximor Demo Corp,CUST-011,Beacon Biotech,Visa,2026,16,0,199,False,381.2,38120,USD,US,US,Windows,Ecommerce,False,False,adyen,2026-07-18
MX-100000641,Maximor Demo Corp,CUST-012,Copperline Logistics,Mastercard,2026,17,3,200,False,388.33,38833,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-07-19
MX-100000642,Maximor Demo Corp,CUST-013,Summit Civic,NexPay,2026,18,6,201,False,395.46,39546,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-07-20
MX-100000643,Maximor Demo Corp,CUST-014,Redwood Clinics,GlobalCard,2026,19,9,202,False,402.59,40259,USD,US,US,Android,Ecommerce,False,False,stripe,2026-07-21
MX-100000644,Maximor Demo Corp,CUST-015,Ironclad Software,Amex,2026,20,12,203,False,409.72,40972,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-07-22
MX-100000645,Maximor Demo Corp,CUST-001,Northwind Labs,Visa,2026,21,15,204,False,416.85,41685,USD,US,US,MacOS,Ecommerce,False,False,adyen,2026-07-23
MX-100000646,Maximor Demo Corp,CUST-002,Helios Analytics,Mastercard,2026,22,18,205,True,423.98,42398,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-07-24
MX-100000647,Maximor Demo Corp,CUST-003,Acme Industrial,NexPay,2026,23,21,206,False,431.11,43111,USD,US,US,Android,Ecommerce,False,False,stripe,2026-07-25
MX-100000648,Maximor Demo Corp,CUST-004,Brightline Media,GlobalCard,2026,0,24,207,False,18.24,1824,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-07-26
MX-100000649,Maximor Demo Corp,CUST-005,Quiet Harbor,Amex,2026,1,27,208,False,25.37,2537,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-07-27
MX-100000650,Maximor Demo Corp,CUST-006,Pinnacle Retail,Visa,2026,2,30,209,False,32.5,3250,USD,US,US,iOS,Ecommerce,False,False,adyen,2026-07-28
MX-100000651,Maximor Demo Corp,CUST-007,Atlas Robotics,Mastercard,2026,3,33,210,False,39.63,3963,USD,US,US,Android,Ecommerce,False,False,stripe,2026-07-29
MX-100000652,Maximor Demo Corp,CUST-008,Lumen Labs,NexPay,2026,4,36,211,False,46.76,4676,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-07-30
MX-100000653,Maximor Demo Corp,CUST-009,Northstar LLC,GlobalCard,2026,5,39,212,False,53.89,5389,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-07-31
MX-100000654,Maximor Demo Corp,CUST-010,Meridian Health,Amex,2026,6,42,213,False,61.02,6102,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-08-01
MX-100000655,Maximor Demo Corp,CUST-011,Beacon Biotech,Visa,2026,7,45,214,False,68.15,6815,USD,US,US,Android,Ecommerce,False,False,adyen,2026-08-02
MX-100000656,Maximor Demo Corp,CUST-012,Copperline Logistics,Mastercard,2026,8,48,215,False,75.28,7528,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-08-03
MX-100000657,Maximor Demo Corp,CUST-013,Summit Civic,NexPay,2026,9,51,216,False,82.41,8241,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-08-04
MX-100000658,Maximor Demo Corp,CUST-014,Redwood Clinics,GlobalCard,2026,10,54,217,False,89.54,8954,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-08-05
MX-100000659,Maximor Demo Corp,CUST-015,Ironclad Software,Amex,2026,11,57,218,False,96.67,9667,USD,US,US,Android,Ecommerce,False,False,stripe,2026-08-06
MX-100000660,Maximor Demo Corp,CUST-001,Northwind Labs,Visa,2026,12,0,219,False,103.8,10380,USD,US,US,Windows,Ecommerce,False,False,adyen,2026-08-07
MX-100000661,Maximor Demo Corp,CUST-002,Helios Analytics,Mastercard,2026,13,3,220,False,110.93,11093,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-08-08
MX-100000662,Maximor Demo Corp,CUST-003,Acme Industrial,NexPay,2026,14,6,221,False,118.06,11806,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-08-09
MX-100000663,Maximor Demo Corp,CUST-004,Brightline Media,GlobalCard,2026,15,9,222,True,125.19,12519,USD,US,US,Android,Ecommerce,False,False,stripe,2026-08-10
MX-100000664,Maximor Demo Corp,CUST-005,Quiet Harbor,Amex,2026,16,12,223,False,132.32,13232,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-08-11
MX-100000665,Maximor Demo Corp,CUST-006,Pinnacle Retail,Visa,2026,17,15,224,False,139.45,13945,USD,US,US,MacOS,Ecommerce,False,False,adyen,2026-08-12
MX-100000666,Maximor Demo Corp,CUST-007,Atlas Robotics,Mastercard,2026,18,18,225,False,146.58,14658,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-08-13
MX-100000667,Maximor Demo Corp,CUST-008,Lumen Labs,NexPay,2026,19,21,226,False,153.71,15371,USD,US,US,Android,Ecommerce,False,False,stripe,2026-08-14
MX-100000668,Maximor Demo Corp,CUST-009,Northstar LLC,GlobalCard,2026,20,24,227,False,160.84,16084,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-08-15
MX-100000669,Maximor Demo Corp,CUST-010,Meridian Health,Amex,2026,21,27,228,False,167.97,16797,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-08-16
MX-100000670,Maximor Demo Corp,CUST-011,Beacon Biotech,Visa,2026,22,30,229,False,175.1,17510,USD,US,US,iOS,Ecommerce,False,False,adyen,2026-08-17
MX-100000671,Maximor Demo Corp,CUST-012,Copperline Logistics,Mastercard,2026,23,33,230,False,182.23,18223,USD,US,US,Android,Ecommerce,False,False,stripe,2026-08-18
MX-100000672,Maximor Demo Corp,CUST-013,Summit Civic,NexPay,2026,0,36,231,False,189.36,18936,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-08-19
MX-100000673,Maximor Demo Corp,CUST-014,Redwood Clinics,GlobalCard,2026,1,39,232,False,196.49,19649,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-08-20
MX-100000674,Maximor Demo Corp,CUST-015,Ironclad Software,Amex,2026,2,42,233,False,203.62,20362,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-08-21
MX-100000675,Maximor Demo Corp,CUST-001,Northwind Labs,Visa,2026,3,45,234,False,210.75,21075,USD,US,US,Android,Ecommerce,False,False,adyen,2026-08-22
MX-100000676,Maximor Demo Corp,CUST-002,Helios Analytics,Mastercard,2026,4,48,235,False,217.88,21788,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-08-23
MX-100000677,Maximor Demo Corp,CUST-003,Acme Industrial,NexPay,2026,5,51,236,False,225.01,22501,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-08-24
MX-100000678,Maximor Demo Corp,CUST-004,Brightline Media,GlobalCard,2026,6,54,237,False,232.14,23214,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-08-25
MX-100000679,Maximor Demo Corp,CUST-005,Quiet Harbor,Amex,2026,7,57,238,False,239.27,23927,USD,US,US,Android,Ecommerce,False,False,stripe,2026-08-26
MX-100000680,Maximor Demo Corp,CUST-006,Pinnacle Retail,Visa,2026,8,0,239,True,246.4,24640,USD,US,US,Windows,Ecommerce,False,False,adyen,2026-08-27
MX-100000681,Maximor Demo Corp,CUST-007,Atlas Robotics,Mastercard,2026,9,3,240,False,253.53,25353,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-08-28
MX-100000682,Maximor Demo Corp,CUST-008,Lumen Labs,NexPay,2026,10,6,241,False,260.66,26066,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-08-29
MX-100000683,Maximor Demo Corp,CUST-009,Northstar LLC,GlobalCard,2026,11,9,242,False,267.79,26779,USD,US,US,Android,Ecommerce,False,False,stripe,2026-08-30
MX-100000684,Maximor Demo Corp,CUST-010,Meridian Health,Amex,2026,12,12,243,False,274.92,27492,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-08-31
MX-100000685,Maximor Demo Corp,CUST-011,Beacon Biotech,Visa,2026,13,15,244,False,282.05,28205,USD,US,US,MacOS,Ecommerce,False,False,adyen,2026-09-01
MX-100000686,Maximor Demo Corp,CUST-012,Copperline Logistics,Mastercard,2026,14,18,245,False,289.18,28918,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-09-02
MX-100000687,Maximor Demo Corp,CUST-013,Summit Civic,NexPay,2026,15,21,246,False,296.31,29631,USD,US,US,Android,Ecommerce,False,False,stripe,2026-09-03
MX-100000688,Maximor Demo Corp,CUST-014,Redwood Clinics,GlobalCard,2026,16,24,247,False,303.44,30344,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-09-04
MX-100000689,Maximor Demo Corp,CUST-015,Ironclad Software,Amex,2026,17,27,248,False,310.57,31057,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-09-05
MX-100000690,Maximor Demo Corp,CUST-001,Northwind Labs,Visa,2026,18,30,249,False,317.7,31770,USD,US,US,iOS,Ecommerce,False,False,adyen,2026-09-06
MX-100000691,Maximor Demo Corp,CUST-002,Helios Analytics,Mastercard,2026,19,33,250,False,324.83,32483,USD,US,US,Android,Ecommerce,False,False,stripe,2026-09-07
MX-100000692,Maximor Demo Corp,CUST-003,Acme Industrial,NexPay,2026,20,36,251,False,331.96,33196,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-09-08
MX-100000693,Maximor Demo Corp,CUST-004,Brightline Media,GlobalCard,2026,21,39,252,False,339.09,33909,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-09-09
MX-100000694,Maximor Demo Corp,CUST-005,Quiet Harbor,Amex,2026,22,42,253,False,346.22,34622,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-09-10
MX-100000695,Maximor Demo Corp,CUST-006,Pinnacle Retail,Visa,2026,23,45,254,False,353.35,35335,USD,US,US,Android,Ecommerce,False,False,adyen,2026-09-11
MX-100000696,Maximor Demo Corp,CUST-007,Atlas Robotics,Mastercard,2026,0,48,255,False,360.48,36048,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-09-12
MX-100000697,Maximor Demo Corp,CUST-008,Lumen Labs,NexPay,2026,1,51,256,True,367.61,36761,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-09-13
MX-100000698,Maximor Demo Corp,CUST-009,Northstar LLC,GlobalCard,2026,2,54,257,False,374.74,37474,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-09-14
MX-100000699,Maximor Demo Corp,CUST-010,Meridian Health,Amex,2026,3,57,258,False,381.87,38187,USD,US,US,Android,Ecommerce,False,False,stripe,2026-09-15
MX-100000700,Maximor Demo Corp,CUST-011,Beacon Biotech,Visa,2025,4,0,274,False,389.0,38900,USD,US,US,Windows,Ecommerce,False,False,adyen,2025-10-01
MX-100000701,Maximor Demo Corp,CUST-012,Copperline Logistics,Mastercard,2025,5,3,275,False,396.13,39613,USD,US,US,MacOS,Ecommerce,False,False,stripe,2025-10-02
MX-100000702,Maximor Demo Corp,CUST-013,Summit Civic,NexPay,2025,6,6,276,False,403.26,40326,USD,US,US,iOS,Ecommerce,False,False,stripe,2025-10-03
MX-100000703,Maximor Demo Corp,CUST-014,Redwood Clinics,GlobalCard,2025,7,9,277,False,410.39,41039,USD,US,US,Android,Ecommerce,False,False,stripe,2025-10-04
MX-100000704,Maximor Demo Corp,CUST-015,Ironclad Software,Amex,2025,8,12,278,False,417.52,41752,USD,US,US,Windows,Ecommerce,False,False,stripe,2025-10-05
MX-100000705,Maximor Demo Corp,CUST-001,Northwind Labs,Visa,2025,9,15,279,False,424.65,42465,USD,US,US,MacOS,Ecommerce,False,False,adyen,2025-10-06
MX-100000706,Maximor Demo Corp,CUST-002,Helios Analytics,Mastercard,2025,10,18,280,False,431.78,43178,USD,US,US,iOS,Ecommerce,False,False,stripe,2025-10-07
MX-100000707,Maximor Demo Corp,CUST-003,Acme Industrial,NexPay,2025,11,21,281,False,18.91,1891,USD,US,US,Android,Ecommerce,False,False,stripe,2025-10-08
MX-100000708,Maximor Demo Corp,CUST-004,Brightline Media,GlobalCard,2025,12,24,282,False,26.04,2604,USD,US,US,Windows,Ecommerce,False,False,stripe,2025-10-09
MX-100000709,Maximor Demo Corp,CUST-005,Quiet Harbor,Amex,2025,13,27,283,False,33.17,3317,USD,US,US,MacOS,Ecommerce,False,False,stripe,2025-10-10
MX-100000710,Maximor Demo Corp,CUST-006,Pinnacle Retail,Visa,2025,14,30,284,False,40.3,4030,USD,US,US,iOS,Ecommerce,False,False,adyen,2025-10-11
